prefecture_code,prefecture_name,population,aging_rate,pop_density,income_per_capita,pa_rate_permil,solo_65plus_households,pop_65plus,solo_elderly_rate,bz_count_outpatient_ext,bz_count_outpatient_int,bz_count_inpatient,bz_count_total,bz_count_outpatient,bz_drug_rate,bz_drug_rate_all,log_bz_drug_rate,log_bz_drug_rate_all,homecare_patients,homecare_rate,psychiatry_patients,psychiatry_rate
26,京都府,2578087,30.28020388761124,558.9712067993582,3026,20.4,153688,734493,0.209244,130381091.8293,26924190.37,4392419.1134,161697701.3127,157305282.1993,6101628.152940532,6272003.284322833,15.624066203847438,15.651606364660655,218851.0,2979.619955533953,194061.0,7527.325493670306
27,大阪府,8837685,27.60649423463272,4638.425566309072,3051,29.8,567399,2361723,0.240248,485909629.811,74822057.87799999,13929622.84113,574661310.53013,560731687.689,6344780.196273119,6502396.391477293,15.663143016493242,15.687681342533603,936309.0,3964.5165838669477,811058.0,9177.267576294018
28,兵庫県,5465002,28.93781191662876,650.5164849030236,2997,17.8,313735,1546543,0.202862,287399169.88315,38925166.9149,10410436.87831,336734773.67636,326324336.79805,5971165.917195456,6161658.745529462,15.602452762313641,15.633856576132859,505138.0,3266.239606658205,420021.0,7685.651350173339
29,奈良県,1324473,31.79098403666968,358.84435943147275,2549,13.5,70741,414576,0.170635,61363898.97322999,18654746.3221,2203877.72,82222523.01532999,80018645.29532999,6041545.980577179,6207942.5564228175,15.614170494208782,15.64134008764884,115976.0,2797.460537995446,99471.0,7510.232371667826
30,和歌山県,922584,33.1553549595484,195.2703374853164,3084,15.5,64404,305500,0.210815,48312824.245,20534135.160000004,1657424.015,70504383.42,68846959.405,7462405.526759624,7642055.72825889,15.825388376872155,15.849177199328121,91533.0,2996.1702127659573,67293.0,7293.9699799693035
31,鳥取県,553407,32.5928295088425,157.79483509308182,2507,11.6,27170,177046,0.153463,27189279.77603,7027083.645,686482.0652600001,34902845.48629,34216363.42103,6182856.996935347,6306903.506151891,15.637291019846156,15.65715538604435,48281.0,2727.031392971318,44257.0,7997.188326132485
32,島根県,671126,33.80453148887094,100.0447209857698,2909,7.9,35331,227881,0.155041,47663816.78221999,4128166.22,1737760.819,53529743.82121999,51791983.00221999,7717177.251696401,7976109.377556523,15.858959214166031,15.891961303864354,59490.0,2610.5730622561773,61844.0,9214.961125034642
33,岡山県,1888432,30.91729011158464,265.4405966549204,2743,12.3,94208,557991,0.168834,93608104.32436,26170331.45548,3621457.44044,123399893.22028,119778435.77983999,6342745.504198192,6534516.107558017,15.662822277502771,15.692608856018564,150885.0,2704.075872191487,147623.0,7817.22614317063
34,広島県,2799702,29.630367803430502,330.1679436484847,3179,14.0,157316,811931,0.193755,157792838.024,29453813.7296,6898905.156570001,194145556.91017,187246651.7536,6688092.223872398,6934507.919420352,15.715839223106206,15.752020653109795,234530.0,2888.5459478699545,238614.0,8522.835644650751
35,山口県,1342059,34.665018452989024,219.5583178187791,2960,10.0,94207,459957,0.204817,66611096.3398,25329625.62,4916722.444999999,96857444.4048,91940721.9598,6850721.314025688,7217077.967868775,15.739864506012232,15.791960715358778,101038.0,2196.6836030324575,100297.0,7473.367415292473
36,徳島県,719559,34.26167972327495,173.52360282148672,3202,17.2,42341,238346,0.177645,35530270.22400001,10765438.282,2166067.537,48461776.043000005,46295708.506000005,6433900.278642892,6734927.37120931,15.67709148753804,15.722817583983646,61479.0,2579.401374472406,58978.0,8196.409189517468
37,香川県,950244,31.962632755376514,506.3161372137384,2851,10.6,53301,296533,0.179747,48159032.213800006,10416419.4012,2083055.208,60658506.82300001,58575451.61500001,6164253.772189039,6383466.4384095045,15.634277644624817,15.669221836675577,78885.0,2660.2435479356427,80124.0,8431.939586043163
38,愛媛県,1334841,33.65928975810602,235.1649610037719,2670,14.6,89813,434279,0.206809,61493218.367,26089111.722,3216598.9836,90798929.0726,87582330.089,6561255.616886206,6802228.061064952,15.696692547617811,15.732760772517782,119107.0,2742.637797360683,107274.0,8036.462769723135
39,高知県,691527,35.9631655741569,97.34839793176164,2653,24.5,55958,241787,0.231435,41086965.558,6233889.35,2209334.413,49530189.321,47320854.908,6842951.165753471,7162437.521745355,15.738729653529436,15.784360916999598,48223.0,1994.4413884948324,50738.0,7337.096020835051
40,福岡県,5135214,27.70622606964384,1029.8212577534186,2733,23.0,284223,1395142,0.203723,280955110.92456,45959383.467,15900918.10776,342815412.49932003,326914494.39156,6366131.857242172,6675776.559639385,15.66650259934014,15.713996094006541,409665.0,2936.3677675820813,434057.0,8452.559133854986
41,佐賀県,811604,30.84915796373601,332.53055488406966,2752,8.9,36646,246061,0.148931,42384925.342810005,6705126.595000001,4270240.0953,53360292.03311001,49090051.937810004,6048522.670885063,6574670.902695158,15.615324613558046,15.698735081953389,66641.0,2708.3121664952996,63762.0,7856.294449017008
42,長崎県,1312317,32.741326981209575,317.67691927823427,2429,19.7,83871,430353,0.194889,74617461.14479999,15981176.830000002,4900800.5,95499438.4748,90598637.97479999,6903715.944760297,7277162.33766689,15.747570367324284,15.800251555403454,99338.0,2308.291100561632,106064.0,8082.193555368101
43,熊本県,1738301,31.913920546556668,234.60562578109605,2646,13.6,92410,540538,0.170959,86774513.12290001,25393275.645,6700765.803000001,118868554.5709,112167788.7679,6452725.3201775765,6838203.197886902,15.680013129791272,15.738035564722162,129019.0,2386.8627182547757,138619.0,7974.395688663815
44,大分県,1123852,33.346739606282675,177.24247566537764,2696,16.4,69725,369192,0.188858,59890762.96840001,19708937.714,3651791.048320001,83251491.73072001,79599700.68240002,7082756.50907771,7407691.73616455,15.773173727338103,15.818029442153534,100143.0,2712.491061561464,93202.0,8293.084854589395
45,宮崎県,1069576,32.72633267762179,138.2735074115539,2596,15.7,70639,344543,0.205022,58317892.2168,13998625.622,3524122.492,75840640.33080001,72316517.8388,6761232.286326544,7090720.091961675,15.726715722282892,15.774297457802566,86195.0,2501.719669243026,84071.0,7860.2175067503385
46,鹿児島県,1588256,32.83412749581932,172.8796807683851,2559,17.9,119020,505891,0.235268,75052816.5125,23315403.60629,7833927.239,106202147.35779,98368220.11879,6193473.855523921,6686714.695728522,15.63900669169097,15.715633234615003,137882.0,2725.5278310940503,110470.0,6955.427840348155
47,沖縄県,1467480,22.608621582576934,642.9012656675093,2258,26.1,68601,324708,0.21127,73835053.50510001,12913762.665,2087227.26076,88836043.43086,86748816.1701,5911413.863909559,6053645.939355902,15.592395593242763,15.616171283099993,89937.0,2769.7808492553313,141140.0,9617.848284133344
