prefecture_code,prefecture_name,variable,lisa_cluster,Is,p_sim
41,佐賀県,psychiatry_rate,ns,-0.0097,0.219
43,熊本県,psychiatry_rate,ns,0.0011,0.436
37,香川県,psychiatry_rate,ns,0.0827,0.321
23,愛知県,psychiatry_rate,ns,-0.367,0.248
09,栃木県,psychiatry_rate,LL,0.8034,0.044
19,山梨県,psychiatry_rate,ns,-0.8997,0.089
25,滋賀県,psychiatry_rate,ns,0.1737,0.394
10,群馬県,psychiatry_rate,ns,0.1777,0.228
04,宮城県,psychiatry_rate,ns,-0.128,0.325
22,静岡県,psychiatry_rate,ns,-0.3801,0.257
08,茨城県,psychiatry_rate,ns,0.8885,0.087
47,沖縄県,psychiatry_rate,ns,-0.8931,0.272
06,山形県,psychiatry_rate,ns,-0.5248,0.262
30,和歌山県,psychiatry_rate,ns,-0.0619,0.377
42,長崎県,psychiatry_rate,ns,-0.0051,0.445
05,秋田県,psychiatry_rate,ns,0.0586,0.397
33,岡山県,psychiatry_rate,ns,-0.019,0.253
40,福岡県,psychiatry_rate,ns,0.1011,0.326
21,岐阜県,psychiatry_rate,ns,0.0136,0.475
02,青森県,psychiatry_rate,ns,0.1285,0.419
27,大阪府,psychiatry_rate,ns,-0.5303,0.223
20,長野県,psychiatry_rate,HL,-0.5655,0.026
44,大分県,psychiatry_rate,ns,0.0975,0.298
24,三重県,psychiatry_rate,ns,0.2063,0.196
34,広島県,psychiatry_rate,ns,0.1727,0.257
01,北海道,psychiatry_rate,ns,-0.4141,0.129
28,兵庫県,psychiatry_rate,ns,-0.0528,0.269
12,千葉県,psychiatry_rate,ns,-0.2021,0.201
16,富山県,psychiatry_rate,ns,0.1432,0.337
13,東京都,psychiatry_rate,ns,-2.1242,0.13
11,埼玉県,psychiatry_rate,ns,0.0197,0.478
35,山口県,psychiatry_rate,ns,-0.4377,0.096
07,福島県,psychiatry_rate,ns,-0.1778,0.067
17,石川県,psychiatry_rate,ns,0.0523,0.477
18,福井県,psychiatry_rate,ns,-0.5604,0.063
38,愛媛県,psychiatry_rate,ns,0.0187,0.371
29,奈良県,psychiatry_rate,ns,0.0278,0.475
32,島根県,psychiatry_rate,ns,0.1724,0.341
03,岩手県,psychiatry_rate,ns,0.2166,0.239
31,鳥取県,psychiatry_rate,ns,0.0553,0.165
36,徳島県,psychiatry_rate,ns,0.0193,0.422
46,鹿児島県,psychiatry_rate,ns,-0.6088,0.141
15,新潟県,psychiatry_rate,ns,-0.2202,0.219
39,高知県,psychiatry_rate,ns,-0.1401,0.326
45,宮崎県,psychiatry_rate,ns,-0.0069,0.229
14,神奈川県,psychiatry_rate,ns,0.2937,0.175
